sampleID_STPN2309	sampleID_hPTMs_liver	sampleID_progentomics_proteome_liver	trout_liver_batch	SampleID_mucus_microbiota_PGTB	SampleID_digesta_microbiota_PGTB	sampleID_proteomics_gut	gut_proteome_batch	sampleID_hPTMs_gut	gut_hptms_run_date	gut_hptm_batch	sampleID_acid_extractome_gut	sample_type	diet	day_cont	day_categ	rearing_tank	group	phase	diet_phase
S_041	X260220_TroutLiver_Histones_069	260220_TroutLiver_Proteome_069	C	MicrobE_256_M_P3	MicrobE_77_D_P1	240906_Diluted_TroutGutProteome_111	D					mid_gut	NC	1	day_01	J6	NC_day_01	early	NC_early
S_043	X260220_TroutLiver_Histones_160	260220_TroutLiver_Proteome_160	F	MicrobE_355_M_P4	MicrobE_68_D_P1	240906_Diluted_TroutGutProteome_090	C	X240816_TroutGutHistones_090	240816	C	X240816_TroutGutHistones_090.mzML	mid_gut	NC	1	day_01	J6	NC_day_01	early	NC_early
S_045	X260220_TroutLiver_Histones_081	260220_TroutLiver_Proteome_081	C	MicrobE_284_M_P4	MicrobE_134_D_P2	240906_Diluted_TroutGutProteome_172	F	X240816_TroutGutHistones_172	240816	F	X240816_TroutGutHistones_172.mzML	mid_gut	NC	1	day_01	J6	NC_day_01	early	NC_early
S_047	X260220_TroutLiver_Histones_071	260220_TroutLiver_Proteome_071	C	MicrobE_291_M_P4	MicrobE_158_D_P2	240906_Diluted_TroutGutProteome_060	B	X240816_TroutGutHistones_060	240816	B	X240816_TroutGutHistones_060.mzML	mid_gut	NC	1	day_01	J6	NC_day_01	early	NC_early
S_049	X260220_TroutLiver_Histones_005	260220_TroutLiver_Proteome_005	A	MicrobE_293_M_P4	MicrobE_118_D_P2	240906_Diluted_TroutGutProteome_091	D	X240816_TroutGutHistones_091	240816	D	X240816_TroutGutHistones_091.mzML	mid_gut	HC	1	day_01	K1	HC_day_01	early	HC_early
S_051	X260220_TroutLiver_Histones_018	260220_TroutLiver_Proteome_018	A	MicrobE_206_M_P3	MicrobE_173_D_P2	240906_Diluted_TroutGutProteome_092	D	X240816_TroutGutHistones_092	240816	D	X240816_TroutGutHistones_092.mzML	mid_gut	HC	1	day_01	K1	HC_day_01	early	HC_early
S_053	X260220_TroutLiver_Histones_153	260220_TroutLiver_Proteome_153	F	MicrobE_213_M_P3	MicrobE_83_D_P1	240906_Diluted_TroutGutProteome_176	F	X240816_TroutGutHistones_176	240816	F	X240816_TroutGutHistones_176.mzML	mid_gut	HC	1	day_01	K1	HC_day_01	early	HC_early
S_055	X260220_TroutLiver_Histones_067	260220_TroutLiver_Proteome_067	C	MicrobE_277_M_P4	MicrobE_141_D_P2	240906_Diluted_TroutGutProteome_006	A	X240816_TroutGutHistones_006	240816	A	X240816_TroutGutHistones_006.mzML	mid_gut	HC	1	day_01	K1	HC_day_01	early	HC_early
S_057	X260220_TroutLiver_Histones_128	260220_TroutLiver_Proteome_128	E	MicrobE_241_M_P3	MicrobE_137_D_P2	240906_Diluted_TroutGutProteome_147	E	X240816_TroutGutHistones_147	240816	E	X240816_TroutGutHistones_147.mzML	mid_gut	NC	1	day_01	K2	NC_day_01	early	NC_early
S_059	X260220_TroutLiver_Histones_171	260220_TroutLiver_Proteome_171	F	MicrobE_214_M_P3	MicrobE_37_D_P1	240906_Diluted_TroutGutProteome_087	C	X240816_TroutGutHistones_087	240816	C	X240816_TroutGutHistones_087.mzML	mid_gut	NC	1	day_01	K2	NC_day_01	early	NC_early
S_061	X260220_TroutLiver_Histones_086	260220_TroutLiver_Proteome_086	C	MicrobE_338_M_P4	MicrobE_47_D_P1	240906_Diluted_TroutGutProteome_052	B	X240816_TroutGutHistones_052	240816	B	X240816_TroutGutHistones_052.mzML	mid_gut	NC	1	day_01	K2	NC_day_01	early	NC_early
S_063	X260220_TroutLiver_Histones_002	260220_TroutLiver_Proteome_002	A	MicrobE_345_M_P4	MicrobE_166_D_P2	240906_Diluted_TroutGutProteome_157	F	X240816_TroutGutHistones_157	240816	F	X240816_TroutGutHistones_157.mzML	mid_gut	NC	1	day_01	K2	NC_day_01	early	NC_early
S_065	X260220_TroutLiver_Histones_144	260220_TroutLiver_Proteome_144	E	MicrobE_343_M_P4	MicrobE_122_D_P2	240906_Diluted_TroutGutProteome_088	C	X240816_TroutGutHistones_088	240816	C	X240816_TroutGutHistones_088.mzML	mid_gut	HC	1	day_01	K3	HC_day_01	early	HC_early
S_067	X260220_TroutLiver_Histones_159	260220_TroutLiver_Proteome_159	F	MicrobE_295_M_P4	MicrobE_138_D_P2	240906_Diluted_TroutGutProteome_089	C	X240816_TroutGutHistones_089	240816	C	X240816_TroutGutHistones_089.mzML	mid_gut	HC	1	day_01	K3	HC_day_01	early	HC_early
S_069	X260220_TroutLiver_Histones_102	260220_TroutLiver_Proteome_102	D	MicrobE_250_M_P3	MicrobE_15_D_P1	240906_Diluted_TroutGutProteome_053	B	X240816_TroutGutHistones_053	240816	B	X240816_TroutGutHistones_053.mzML	mid_gut	HC	1	day_01	K3	HC_day_01	early	HC_early
S_071	X260220_TroutLiver_Histones_116	260220_TroutLiver_Proteome_116	D	MicrobE_185_M_P3	MicrobE_64_D_P1	240906_Diluted_TroutGutProteome_100	D	X240816_TroutGutHistones_100	240816	D	X240816_TroutGutHistones_100.mzML	mid_gut	HC	1	day_01	K3	HC_day_01	early	HC_early
S_073	X260220_TroutLiver_Histones_036	260220_TroutLiver_Proteome_036	B	MicrobE_298_M_P4	MicrobE_98_D_P2	240906_Diluted_TroutGutProteome_135	E	X240816_TroutGutHistones_135	240816	E	X240816_TroutGutHistones_135.mzML	mid_gut	NC	2	day_02	J4	NC_day_02	early	NC_early
S_075	X260220_TroutLiver_Histones_178	260220_TroutLiver_Proteome_178	G	MicrobE_342_M_P4	MicrobE_123_D_P2	240906_Diluted_TroutGutProteome_161	F	X240816_TroutGutHistones_161	240816	F	X240816_TroutGutHistones_161.mzML	mid_gut	NC	2	day_02	J4	NC_day_02	early	NC_early
S_077	X260220_TroutLiver_Histones_066	260220_TroutLiver_Proteome_066	C		MicrobE_87_D_P1	240906_Diluted_TroutGutProteome_115	D	X240816_TroutGutHistones_115	240816	D	X240816_TroutGutHistones_115.mzML	mid_gut	NC	2	day_02	J4	NC_day_02	early	NC_early
S_079	X260220_TroutLiver_Histones_120	260220_TroutLiver_Proteome_120	E	MicrobE_264_M_P3	MicrobE_25_D_P1	240906_Diluted_TroutGutProteome_133	E	X240816_TroutGutHistones_133	240816	E	X240816_TroutGutHistones_133.mzML	mid_gut	NC	2	day_02	J4	NC_day_02	early	NC_early
S_081	X260220_TroutLiver_Histones_013	260220_TroutLiver_Proteome_013	A	MicrobE_225_M_P3	MicrobE_111_D_P2	240906_Diluted_TroutGutProteome_136	E	X240816_TroutGutHistones_136	240816	E	X240816_TroutGutHistones_136.mzML	mid_gut	HC	2	day_02	J5	HC_day_02	early	HC_early
S_083	X260220_TroutLiver_Histones_014	260220_TroutLiver_Proteome_014	A	MicrobE_243_M_P3	MicrobE_50_D_P1	240906_Diluted_TroutGutProteome_012	A	X240816_TroutGutHistones_012	240816	A	X240816_TroutGutHistones_012.mzML	mid_gut	HC	2	day_02	J5	HC_day_02	early	HC_early
S_085	X260220_TroutLiver_Histones_152	260220_TroutLiver_Proteome_152	F	MicrobE_322_M_P4	MicrobE_161_D_P2	240906_Diluted_TroutGutProteome_106	D	X240816_TroutGutHistones_106	240816	D	X240816_TroutGutHistones_106.mzML	mid_gut	HC	2	day_02	J5	HC_day_02	early	HC_early
S_087	X260220_TroutLiver_Histones_032	260220_TroutLiver_Proteome_032	B	MicrobE_306_M_P4	MicrobE_180_D_P2	240906_Diluted_TroutGutProteome_033	B					mid_gut	HC	2	day_02	J5	HC_day_02	early	HC_early
S_089	X260220_TroutLiver_Histones_040	260220_TroutLiver_Proteome_040	B	MicrobE_325_M_P4	MicrobE_35_D_P1	240906_Diluted_TroutGutProteome_142	E	X240816_TroutGutHistones_142	240816	E	X240816_TroutGutHistones_142.mzML	mid_gut	NC	2	day_02	J6	NC_day_02	early	NC_early
S_091	X260220_TroutLiver_Histones_059	260220_TroutLiver_Proteome_059	B	MicrobE_252_M_P3	MicrobE_20_D_P1	240906_Diluted_TroutGutProteome_173	F	X240816_TroutGutHistones_173	240816	F	X240816_TroutGutHistones_173.mzML	mid_gut	NC	2	day_02	J6	NC_day_02	early	NC_early
